translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1PE,105,0,30.37,31.3,29.13,32.36,9.18,10.6,10.18,9.01,7.09,0.31,10.6,gof
gmve,gmv,2PE,61,0,27.6,28.46,26.44,28.95,6.85,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,GEN,249,0,45.76,46.58,44.41,49.9,23.53,14.51,14.66,13.18,12.18,0.9,14.51,gof
gmve,gmv,JAS,105,0,29.11,30.02,28.09,31.53,9.35,10.78,10.81,9.61,7.88,0.3,10.78,gof
gmve,gmv,MRK,673,0,36.81,37.46,35.01,41.35,13.79,10.9,10.4,9.18,7.5,0.34,10.9,gof
gmve,gmv,[epistles],271,0,29.23,30.14,28.09,31.37,8.85,10.84,10.67,9.47,7.61,0.53,10.84,gof
