translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gofe,gof,1PE,103,0,53.75,54.56,52.25,56.28,28.99,12.09,11.65,10.31,7.31,0.32,15.39,oyd
gofe,gof,2PE,61,0,48.99,50.06,47.97,51.96,25.66,13.06,13.04,11.61,8.24,1.06,14.88,oyd
gofe,gof,GEN,249,0,47.7,48.71,46.49,50.52,24.98,14.99,15.18,13.65,12.22,0.9,14.99,gmv
gofe,gof,JAS,107,0,53.23,54.35,52.17,55.42,29.1,11.56,11.6,10.31,8.01,0.3,14.52,oyd
gofe,gof,MRK,673,0,61.52,62.19,60.18,64.22,39.66,10.6,10.12,8.94,7.53,0.34,14.28,oyd
gofe,gof,[epistles],271,0,52.4,53.38,51.17,55.13,28.29,12.14,11.98,10.64,7.79,0.53,14.95,oyd
