translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,ZEP,53,0,28.68,28.09,25.14,6.17,1.81,13.44,12.77,11.19,0.28,0.17,13.44,pes
ckb,ckb,[epistles],274,0,35.46,34.91,31.6,13.21,6.07,12.6,11.89,10.4,0.24,0.08,12.6,pes
ckb,ckb,[OT],23130,0,25.59,25.32,22.77,5.8,3.03,13.83,13.36,11.72,0.86,0.15,13.83,pes
urdoucv,urd,1CH,942,0,24.62,25.12,22.73,11.95,2.77,12.21,10.74,9.4,1.42,0.01,12.29,ckb
urdoucv,urd,1KI,816,0,26.09,26.65,24.2,15.4,3.83,13.01,11.53,10.09,0.32,0.03,13.01,pes
urdoucv,urd,1PE,105,0,32.7,33.28,30.59,23.5,8.64,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,1SA,809,0,28.0,28.53,25.95,17.01,4.46,13.09,11.54,10.1,0.32,0.01,13.09,pes
urdoucv,urd,2CH,822,0,26.81,27.3,24.78,16.0,3.88,13.4,11.87,10.38,0.33,0.01,13.4,pes
urdoucv,urd,2KI,719,0,25.16,25.64,23.28,14.53,3.77,12.79,11.3,9.89,0.43,0.01,12.79,pes
urdoucv,urd,2PE,61,0,31.02,31.52,28.8,21.05,6.18,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,2SA,694,0,27.35,27.82,25.32,16.09,4.28,13.63,12.01,10.51,0.43,0.02,13.63,pes
urdoucv,urd,AMO,146,0,27.79,28.1,25.49,16.2,3.9,12.49,11.11,9.73,0.14,0.05,12.49,pes
urdoucv,urd,DAN,356,0,26.23,26.69,24.24,15.48,3.89,13.36,11.83,10.36,0.24,0.02,13.36,pes
urdoucv,urd,DEU,959,0,27.49,27.95,25.39,17.05,4.28,11.97,10.71,9.37,0.09,0.03,11.97,pes
urdoucv,urd,ECC,222,0,25.67,26.18,23.69,13.4,3.49,12.11,10.8,9.46,0.18,0.08,12.11,pes
urdoucv,urd,EST,167,0,26.5,27.06,24.42,12.63,2.98,13.63,12.06,10.55,0.22,0.02,13.63,pes
urdoucv,urd,EXO,1213,0,27.72,28.27,25.76,17.02,4.65,11.92,10.58,9.26,0.18,0.01,11.92,pes
urdoucv,urd,EZK,1271,0,26.29,26.64,24.24,14.89,4.34,12.55,11.21,9.81,0.09,0.01,12.55,pes
urdoucv,urd,EZR,280,0,26.88,27.36,24.87,14.0,3.88,14.92,13.3,11.64,0.78,0.05,14.92,pes
urdoucv,urd,GEN,1531,0,29.63,30.22,27.63,19.19,5.54,11.96,10.65,9.32,0.22,0.03,11.96,pes
urdoucv,urd,HAB,56,0,26.32,26.6,24.02,12.6,2.76,11.84,10.47,9.16,0.16,0.06,11.84,pes
urdoucv,urd,HAG,38,0,25.79,26.2,23.77,13.93,3.85,12.25,11.07,9.7,0.14,0.14,12.25,pes
urdoucv,urd,HOS,197,0,28.54,28.81,26.2,17.73,4.22,12.49,11.02,9.64,0.28,0.04,12.49,pes
urdoucv,urd,ISA,1290,0,27.2,27.52,24.93,15.97,3.62,12.14,10.8,9.45,0.16,0.01,12.14,pes
urdoucv,urd,JAS,108,0,33.38,33.9,31.14,22.93,8.02,12.42,11.22,9.82,0.12,0.07,12.42,pes
