translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,ZEP,53,0,32.44,31.89,28.71,9.57,3.48,13.44,12.77,11.19,0.28,0.17,13.44,pes
ckb,ckb,[epistles],274,0,35.83,35.62,32.45,13.4,7.12,12.6,11.89,10.4,0.24,0.08,12.6,pes
ckb,ckb,[OT],23130,0,31.09,30.86,27.93,10.06,4.72,13.83,13.36,11.72,0.86,0.15,13.83,pes
urdoucv,urd,1CH,942,0,28.0,28.41,25.9,17.33,4.79,12.21,10.74,9.4,1.42,0.01,12.29,ckb
urdoucv,urd,1KI,816,0,28.66,29.27,26.69,17.19,5.03,13.01,11.53,10.09,0.32,0.03,13.01,pes
urdoucv,urd,1PE,105,0,32.69,33.31,30.82,24.51,9.34,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,1SA,809,0,30.43,30.99,28.33,19.66,5.84,13.09,11.54,10.1,0.32,0.01,13.09,pes
urdoucv,urd,2CH,822,0,29.27,29.79,27.19,18.26,5.38,13.4,11.87,10.38,0.33,0.01,13.4,pes
urdoucv,urd,2KI,719,0,27.55,28.13,25.66,16.19,4.91,12.79,11.3,9.89,0.43,0.01,12.79,pes
urdoucv,urd,2PE,61,0,30.78,31.43,28.92,21.89,7.17,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,2SA,694,0,30.45,30.95,28.31,19.22,5.77,13.63,12.01,10.51,0.43,0.02,13.63,pes
urdoucv,urd,AMO,146,0,28.69,29.03,26.37,16.65,3.9,12.49,11.11,9.73,0.14,0.05,12.49,pes
urdoucv,urd,DAN,356,0,29.1,29.6,26.94,17.92,4.65,13.36,11.83,10.36,0.24,0.02,13.36,pes
urdoucv,urd,DEU,959,0,29.39,29.91,27.28,18.68,5.27,11.97,10.71,9.37,0.09,0.03,11.97,pes
urdoucv,urd,ECC,222,0,28.15,28.84,26.3,16.33,4.65,12.11,10.8,9.46,0.18,0.08,12.11,pes
urdoucv,urd,EST,167,0,26.42,27.01,24.4,13.41,2.6,13.63,12.06,10.55,0.22,0.02,13.63,pes
urdoucv,urd,EXO,1213,0,29.43,30.04,27.45,19.26,5.22,11.92,10.58,9.26,0.18,0.01,11.92,pes
