translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1PE,105,0,30.81,31.69,29.47,32.71,9.13,10.6,10.19,9.01,7.08,0.31,10.6,gof
gmve,gmv,2PE,61,0,28.89,29.74,27.71,29.88,8.53,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,GEN,249,0,46.37,47.15,44.91,50.73,23.45,14.51,14.66,13.18,12.18,0.9,14.51,gof
gmve,gmv,JAS,105,0,30.27,31.27,29.3,32.77,9.78,10.78,10.81,9.61,7.87,0.3,10.78,gof
gmve,gmv,MRK,673,0,36.15,36.74,34.32,40.68,13.24,10.9,10.4,9.18,7.49,0.34,10.9,gof
gmve,gmv,[epistles],271,0,30.14,31.05,28.96,32.03,9.2,10.84,10.68,9.47,7.6,0.53,10.84,gof
