translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gofe,gof,1PE,103,0,33.0,33.64,31.39,33.45,11.08,12.09,11.65,10.31,7.31,0.32,15.39,oyd
gofe,gof,2PE,61,0,29.7,30.48,28.41,30.04,8.71,13.06,13.04,11.61,8.24,1.06,14.88,oyd
gofe,gof,GEN,249,0,42.92,43.98,41.85,45.31,21.23,14.99,15.18,13.65,12.22,0.9,14.99,gmv
gofe,gof,JAS,104,0,32.63,33.51,31.37,33.51,10.8,11.97,12.02,10.69,8.02,0.3,14.57,oyd
gofe,gof,MRK,669,0,41.34,42.09,39.86,43.77,19.14,10.66,10.18,8.99,7.53,0.34,14.28,oyd
gofe,gof,[epistles],268,0,32.05,32.81,30.64,32.63,10.47,12.29,12.13,10.77,7.79,0.54,14.98,oyd
