translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
gmve,gmv,1PE,103,0,25.98,26.92,24.9,27.15,6.0,10.7,10.28,9.09,7.17,0.32,10.7,gof
gmve,gmv,2PE,61,0,24.92,25.8,23.79,26.15,5.96,11.31,11.25,10.01,8.04,1.06,11.31,gof
gmve,gmv,GEN,249,0,40.61,41.57,39.34,44.2,17.37,14.51,14.66,13.18,12.18,0.9,14.51,gof
gmve,gmv,JAS,104,0,27.5,28.64,26.76,29.46,7.98,10.84,10.87,9.67,7.93,0.3,10.84,gof
gmve,gmv,MRK,669,0,33.29,33.94,31.52,36.0,9.89,10.96,10.45,9.23,7.54,0.34,10.96,gof
gmve,gmv,[epistles],268,0,26.22,27.22,25.25,27.69,6.68,10.91,10.74,9.53,7.66,0.54,10.91,gof
