translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
ckb,ckb,ZEP,53,0,27.28,26.81,23.98,6.81,2.03,13.44,12.77,11.19,0.28,0.17,13.44,pes
ckb,ckb,[epistles],274,0,34.69,34.16,30.82,12.39,5.24,12.6,11.89,10.4,0.24,0.08,12.6,pes
ckb,ckb,[OT],23130,0,26.39,26.07,23.42,6.65,2.97,13.83,13.36,11.72,0.86,0.15,13.83,pes
urdoucv,urd,1CH,942,0,23.22,23.6,21.36,11.27,2.96,12.21,10.74,9.4,1.42,0.01,12.29,ckb
urdoucv,urd,1KI,816,0,25.12,25.57,23.2,15.2,3.63,13.01,11.53,10.09,0.32,0.03,13.01,pes
urdoucv,urd,1PE,105,0,31.71,32.35,29.68,23.07,7.86,12.32,10.98,9.61,0.14,0.03,12.32,pes
urdoucv,urd,1SA,809,0,26.9,27.34,24.86,16.92,4.08,13.09,11.54,10.1,0.32,0.01,13.09,pes
urdoucv,urd,2CH,822,0,25.3,25.73,23.33,15.36,3.33,13.4,11.87,10.38,0.33,0.01,13.4,pes
urdoucv,urd,2KI,719,0,23.7,24.09,21.86,13.74,3.58,12.79,11.3,9.89,0.43,0.01,12.79,pes
urdoucv,urd,2PE,61,0,29.74,30.07,27.41,20.31,5.55,12.26,10.88,9.53,0.29,0.13,12.26,pes
urdoucv,urd,2SA,694,0,26.91,27.35,24.88,16.48,4.13,13.63,12.01,10.51,0.43,0.02,13.63,pes
urdoucv,urd,AMO,146,0,25.74,25.99,23.61,15.22,3.54,12.49,11.11,9.73,0.14,0.05,12.49,pes
urdoucv,urd,DAN,356,0,25.97,26.32,23.83,15.3,3.46,13.36,11.83,10.36,0.24,0.02,13.36,pes
urdoucv,urd,DEU,959,0,26.46,26.85,24.34,16.13,3.98,11.97,10.71,9.37,0.09,0.03,11.97,pes
urdoucv,urd,ECC,222,0,24.45,24.85,22.41,12.73,2.8,12.11,10.8,9.46,0.18,0.08,12.11,pes
urdoucv,urd,EST,167,0,25.17,25.6,23.14,12.25,3.32,13.63,12.06,10.55,0.22,0.02,13.63,pes
urdoucv,urd,EXO,1213,0,25.74,26.18,23.82,15.69,4.15,11.92,10.58,9.26,0.18,0.01,11.92,pes
urdoucv,urd,EZK,1271,0,25.05,25.31,22.97,14.07,3.62,12.55,11.21,9.81,0.09,0.01,12.55,pes
urdoucv,urd,EZR,280,0,25.65,25.92,23.5,13.22,3.89,14.92,13.3,11.64,0.78,0.05,14.92,pes
urdoucv,urd,GEN,1531,0,28.53,29.02,26.5,18.95,5.28,11.96,10.65,9.32,0.22,0.03,11.96,pes
urdoucv,urd,HAB,56,0,24.93,25.22,22.78,13.19,1.78,11.84,10.47,9.16,0.16,0.06,11.84,pes
urdoucv,urd,HAG,38,0,25.05,25.2,22.82,13.88,2.16,12.25,11.07,9.7,0.14,0.14,12.25,pes
urdoucv,urd,HOS,197,0,27.68,27.91,25.34,17.18,4.37,12.49,11.02,9.64,0.28,0.04,12.49,pes
urdoucv,urd,ISA,1290,0,26.58,26.83,24.28,15.48,3.35,12.14,10.8,9.45,0.16,0.01,12.14,pes
urdoucv,urd,JAS,108,0,33.63,34.01,31.35,24.23,9.02,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,JDG,618,0,26.65,27.02,24.54,15.99,4.02,13.48,11.89,10.4,0.29,0.01,13.48,pes
urdoucv,urd,JER,1364,0,25.67,25.9,23.48,14.88,3.61,12.85,11.43,10.0,0.27,0.02,12.85,pes
urdoucv,urd,JOB,1068,0,24.8,24.99,22.61,13.65,3.26,11.01,9.81,8.59,0.11,0.01,11.01,pes
urdoucv,urd,JOL,73,0,28.46,28.71,26.12,17.3,4.28,12.04,10.76,9.41,0.23,0.05,12.04,pes
urdoucv,urd,JON,48,0,27.75,28.24,25.71,17.46,5.96,11.45,10.14,8.88,0.26,0.1,11.45,pes
urdoucv,urd,JOS,658,0,26.18,26.68,24.24,14.64,3.72,13.54,12.01,10.51,0.34,0.02,13.54,pes
urdoucv,urd,LAM,154,0,26.4,26.65,24.15,15.73,3.15,11.82,10.51,9.2,0.17,0.03,11.82,pes
urdoucv,urd,LEV,859,0,24.88,25.38,23.05,15.13,3.39,11.66,10.49,9.18,0.14,0.02,11.66,pes
urdoucv,urd,MAL,55,0,25.54,26.0,23.54,13.88,3.3,12.45,10.99,9.62,0.09,0.05,12.45,pes
urdoucv,urd,MIC,105,0,26.08,26.18,23.69,14.08,3.76,12.71,11.27,9.86,0.21,0.04,12.71,pes
urdoucv,urd,MRK,678,0,43.63,44.04,41.65,36.83,20.83,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,NAM,47,0,22.96,23.02,20.58,10.46,1.34,11.79,10.46,9.16,0.17,0.07,11.79,pes
urdoucv,urd,NEH,405,0,25.48,25.76,23.35,13.88,3.36,13.85,12.26,10.73,0.77,0.06,13.85,pes
urdoucv,urd,NUM,1288,0,22.92,23.2,21.02,11.55,3.07,12.9,11.47,10.04,0.16,0.02,12.9,pes
urdoucv,urd,OBA,21,0,25.23,25.54,23.17,13.61,2.51,11.3,10.0,8.75,0.21,0.1,11.3,pes
urdoucv,urd,PRO,915,0,24.55,24.76,22.48,12.25,3.55,11.45,10.22,8.94,0.19,0.04,11.45,pes
urdoucv,urd,PSA,2458,0,26.09,26.39,23.99,16.05,4.17,11.07,9.91,8.67,0.12,0.02,11.07,pes
urdoucv,urd,RUT,85,0,25.11,25.39,23.01,15.24,3.89,11.6,10.36,9.06,0.3,0.04,11.6,pes
urdoucv,urd,SNG,117,0,22.84,22.99,20.74,12.53,2.25,11.33,10.02,8.77,0.16,0.06,11.33,pes
urdoucv,urd,ZEC,211,0,26.42,26.79,24.48,16.84,4.96,12.23,10.84,9.49,0.15,0.03,12.23,pes
urdoucv,urd,ZEP,53,0,24.98,25.21,22.82,14.05,2.74,12.3,10.88,9.52,0.26,0.05,12.3,pes
urdoucv,urd,[epistles],274,0,31.91,32.38,29.72,22.81,7.74,12.34,11.04,9.67,0.17,0.06,12.34,pes
urdoucv,urd,[OT],23130,0,25.65,26.0,23.6,15.21,3.77,12.46,11.07,9.69,0.3,0.01,12.46,pes
