translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
mar,mar,2KI,719,0,26.31,25.6,22.87,5.23,2.5,17.94,16.59,14.56,2.92,0.12,17.94,hin
mar,mar,2PE,61,0,31.65,31.44,28.53,9.72,6.11,16.48,15.43,13.52,0.55,0.13,16.48,hin
mar,mar,2SA,695,0,24.31,23.77,21.2,3.82,1.55,16.61,15.36,13.47,2.83,0.08,16.61,hin
mar,mar,AMO,146,0,27.0,26.87,24.21,6.19,2.91,17.0,16.09,14.1,2.08,0.18,17.0,hin
mar,mar,DAN,356,0,26.74,26.6,23.86,4.42,2.9,18.31,17.28,15.21,1.77,0.35,18.31,hin
mar,mar,DEU,959,0,24.95,24.33,21.65,3.3,1.25,16.8,15.51,13.62,1.28,0.28,16.8,hin
mar,mar,ECC,222,0,24.59,24.82,22.36,3.94,2.02,14.65,13.71,12.03,0.3,0.15,14.65,hin
mar,mar,EST,167,0,23.8,23.14,20.54,2.73,1.04,17.91,16.49,14.47,2.31,0.25,17.91,hin
mar,mar,EXO,1213,0,28.03,27.58,24.75,6.54,3.01,16.41,15.28,13.44,2.18,0.44,16.41,hin
mar,mar,EZK,1273,0,26.23,25.96,23.29,4.39,2.47,15.98,14.94,13.09,0.72,0.09,15.98,hin
mar,mar,EZR,280,0,25.76,25.26,22.49,4.17,1.74,20.31,19.1,16.92,4.93,0.77,20.31,hin
mar,mar,GEN,1532,0,29.34,29.12,26.29,8.65,4.62,16.49,15.6,13.74,3.38,0.62,16.49,hin
mar,mar,HAB,56,0,24.98,24.97,22.41,4.11,1.82,15.68,14.96,13.12,1.06,0.26,15.68,hin
mar,mar,HAG,38,0,24.69,24.5,21.97,4.08,2.44,18.01,17.03,14.92,2.42,0.19,18.01,hin
mar,mar,HOS,197,0,28.08,28.14,25.34,4.64,2.03,16.86,15.85,13.91,0.86,0.19,16.86,hin
mar,mar,ISA,1291,0,26.44,26.41,23.8,5.01,3.01,16.07,15.23,13.37,1.08,0.19,16.07,hin
mar,mar,JAS,108,0,33.24,33.17,30.25,11.23,6.14,17.3,16.5,14.5,1.2,0.17,17.3,hin
mar,mar,JDG,618,0,28.15,27.7,24.87,6.08,3.12,17.33,16.32,14.34,3.11,0.1,17.33,hin
mar,mar,JER,1364,0,26.57,26.51,23.87,4.88,2.9,16.85,15.72,13.79,1.68,0.13,16.85,hin
mar,mar,JOB,1070,0,22.86,22.93,20.62,3.59,2.35,13.25,12.4,10.86,0.68,0.06,13.25,hin
mar,mar,JOL,73,0,28.03,28.2,25.52,5.65,3.37,15.77,15.06,13.2,0.48,0.13,15.77,hin
mar,mar,JON,48,0,30.0,29.94,27.18,10.06,6.52,17.0,16.28,14.33,1.99,0.3,17.0,hin
mar,mar,JOS,658,0,27.72,27.05,24.2,5.1,2.62,19.43,18.36,16.17,3.69,0.34,19.43,hin
mar,mar,LAM,154,0,25.19,25.17,22.75,3.96,2.8,14.74,13.51,11.83,0.37,0.07,14.74,hin
mar,mar,LEV,859,0,26.51,25.91,23.11,4.4,1.67,16.83,15.7,13.76,1.18,0.08,16.83,hin
mar,mar,MAL,55,0,28.42,28.2,25.43,5.68,3.97,18.09,17.08,14.96,0.99,0.18,18.09,hin
mar,mar,MIC,105,0,27.34,27.38,24.65,5.05,2.48,16.68,15.78,13.82,0.99,0.1,16.68,hin
mar,mar,MRK,673,0,44.54,44.44,41.32,25.21,16.32,14.92,14.02,12.31,1.87,0.12,14.92,hin
mar,mar,NAM,47,0,23.26,23.36,21.17,4.61,3.08,14.28,13.52,11.86,0.49,0.19,14.28,hin
mar,mar,NEH,405,0,24.01,23.74,21.14,3.29,1.73,18.81,17.7,15.74,5.92,1.21,18.81,hin
mar,mar,NUM,1288,0,24.8,24.29,21.67,4.01,1.88,16.59,15.42,13.58,2.34,0.42,16.59,hin
mar,mar,OBA,21,0,27.33,27.19,24.54,5.49,2.02,16.58,15.66,13.73,0.98,0.23,16.58,hin
mar,mar,PRO,915,0,24.5,24.69,22.27,4.47,2.72,14.74,14.15,12.41,0.38,0.09,14.74,hin
mar,mar,PSA,2460,0,28.51,28.86,26.24,6.44,4.34,15.22,14.58,12.81,0.53,0.12,15.22,hin
mar,mar,RUT,85,0,28.65,28.47,25.68,7.84,4.36,15.57,14.79,12.98,2.24,0.24,15.57,hin
mar,mar,SNG,117,0,23.67,23.86,21.68,4.27,2.93,13.92,13.13,11.52,0.69,0.13,13.92,hin
mar,mar,ZEC,211,0,25.98,25.62,22.98,6.07,3.26,15.91,14.82,12.99,1.75,0.1,15.91,hin
mar,mar,ZEP,53,0,27.7,27.68,24.97,5.53,3.05,16.23,15.37,13.5,1.24,0.27,16.23,hin
mar,mar,[epistles],272,0,33.82,33.66,30.62,10.84,6.06,17.24,16.32,14.31,0.89,0.08,17.24,hin
mar,mar,[OT],23140,0,26.36,26.1,23.44,5.23,2.81,16.79,15.74,13.84,2.28,0.36,16.79,hin
