translationId,languageCode,languageNameInEnglish,family,script,OTverses,NTverses,DCverses,totalVerses,licence,ntOnly
gmve,gmv,Gamo,,Ethiopic,23063,7843,0,30906,by-sa,False
gofe,gof,Goofa,,Ethiopic,23045,7932,0,30977,by-sa,False
gyl,gyl,Gayil,,Ethiopic,0,7953,0,7953,by-sa,False
jnje,jnj,Yemsa,,Ethiopic,0,7924,0,7924,by-sa,False
oyde,oyd,Oyda,,Ethiopic,0,7931,0,7931,by-sa,False
