book,trg_iso,verses_nllb,nllb
ALL,ckb,1202,64.09
MRK,ckb,678,70.0
GEN,ckb,250,60.48
1PE,ckb,105,55.66
2PE,ckb,61,51.63
JAS,ckb,108,56.1
