book,trg_iso,verses_nllb,nllb
ALL,gmv,1186,41.83
MRK,gmv,669,40.43
GEN,gmv,249,56.15
1PE,gmv,103,33.72
2PE,gmv,61,30.8
JAS,gmv,104,35.1
