book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
OBA,21,12.04,14.56,14.32,21,25.34,ethiopic_drafting_gof,gofe,store,-10.78,lose
PRO,914,15.7,17.46,14.92,914,36.12,ethiopic_drafting_gof,gofe,store,-18.66,lose
PSA,2456,18.07,22.07,16.76,2456,42.2,ethiopic_drafting_gof,gofe,store,-20.13,lose
RUT,85,14.26,19.82,16.04,85,37.5,ethiopic_drafting_gof,gofe,store,-17.68,lose
SNG,117,15.11,15.77,12.03,117,34.64,ethiopic_drafting_gof,gofe,store,-18.87,lose
ZEC,211,15.8,21.53,17.43,211,37.81,ethiopic_drafting_gof,gofe,store,-16.28,lose
ZEP,53,14.94,16.66,15.28,53,31.56,ethiopic_drafting_gof,gofe,store,-14.9,lose
1PE,105,10.6,30.81,25.98,103,33.72,ethiopic_gapfill_gmv,gmve,store,-2.91,lose
2PE,61,11.31,28.89,24.92,61,30.8,ethiopic_gapfill_gmv,gmve,store,-1.91,lose
GEN,249,14.51,46.37,40.61,249,56.15,ethiopic_gapfill_gmv,gmve,store,-9.78,lose
JAS,105,10.78,30.27,27.5,104,35.1,ethiopic_gapfill_gmv,gmve,store,-4.83,lose
MRK,673,10.9,36.15,33.29,669,40.43,ethiopic_gapfill_gmv,gmve,store,-4.28,lose
1PE,103,12.09,48.28,33.0,103,37.2,ethiopic_gapfill_gof,gofe,store,11.08,beat
2PE,61,13.06,45.7,29.7,61,34.25,ethiopic_gapfill_gof,gofe,store,11.45,beat
GEN,249,14.99,47.71,42.92,249,56.91,ethiopic_gapfill_gof,gofe,store,-9.2,lose
JAS,107,11.56,50.51,32.63,104,37.1,ethiopic_gapfill_gof,gofe,store,13.41,beat
MRK,673,10.6,57.38,41.34,669,40.65,ethiopic_gapfill_gof,gofe,store,16.73,beat
1CH,942,21.27,34.02,32.07,942,59.72,latin_bantu_drafting_nde,nde,store,-25.7,lose
1KI,816,19.71,34.87,33.8,816,56.96,latin_bantu_drafting_nde,nde,store,-22.09,lose
1PE,105,17.34,43.83,44.82,105,65.82,latin_bantu_drafting_nde,nde,store,-21.99,lose
1SA,810,19.49,36.63,34.72,810,60.3,latin_bantu_drafting_nde,nde,store,-23.67,lose
2CH,822,19.81,35.92,34.07,822,59.87,latin_bantu_drafting_nde,nde,store,-23.95,lose
2KI,719,20.48,35.32,33.12,719,59.57,latin_bantu_drafting_nde,nde,store,-24.25,lose
2PE,61,18.44,43.48,43.1,61,62.03,latin_bantu_drafting_nde,nde,store,-18.55,lose
2SA,695,20.43,35.78,33.79,695,60.84,latin_bantu_drafting_nde,nde,store,-25.06,lose
AMO,146,18.55,34.52,30.95,146,56.45,latin_bantu_drafting_nde,nde,store,-21.93,lose
DAN,357,19.18,33.1,30.48,357,57.9,latin_bantu_drafting_nde,nde,store,-24.8,lose
DEU,959,17.29,34.79,33.75,959,54.42,latin_bantu_drafting_nde,nde,store,-19.63,lose
ECC,222,17.29,34.58,35.05,222,54.81,latin_bantu_drafting_nde,nde,store,-20.23,lose
EST,167,19.47,30.54,27.73,167,53.69,latin_bantu_drafting_nde,nde,store,-23.15,lose
EXO,1213,17.93,34.79,33.75,1213,55.62,latin_bantu_drafting_nde,nde,store,-20.83,lose
EZK,1273,18.36,33.68,30.46,1273,58.32,latin_bantu_drafting_nde,nde,store,-24.64,lose
EZR,280,20.66,37.38,32.89,280,63.86,latin_bantu_drafting_nde,nde,store,-26.48,lose
GEN,1533,19.84,37.54,36.79,1533,62.27,latin_bantu_drafting_nde,nde,store,-24.73,lose
HAB,56,18.14,32.51,30.77,56,51.25,latin_bantu_drafting_nde,nde,store,-18.74,lose
HAG,38,19.83,36.73,36.97,38,67.2,latin_bantu_drafting_nde,nde,store,-30.47,lose
HOS,197,17.98,35.15,33.77,197,59.66,latin_bantu_drafting_nde,nde,store,-24.51,lose
ISA,1291,17.99,34.43,32.25,1291,57.22,latin_bantu_drafting_nde,nde,store,-22.79,lose
JAS,108,17.18,41.64,40.78,108,64.39,latin_bantu_drafting_nde,nde,store,-22.75,lose
JDG,618,20.2,35.52,34.45,618,61.01,latin_bantu_drafting_nde,nde,store,-25.49,lose
JER,1364,19.34,35.29,33.23,1364,60.71,latin_bantu_drafting_nde,nde,store,-25.42,lose
JOB,1070,16.46,32.94,32.36,1070,50.9,latin_bantu_drafting_nde,nde,store,-17.96,lose
JOL,73,17.55,35.09,34.95,73,59.88,latin_bantu_drafting_nde,nde,store,-24.79,lose
JON,48,17.72,36.51,33.37,48,56.03,latin_bantu_drafting_nde,nde,store,-19.52,lose
JOS,658,20.23,33.5,31.51,658,57.44,latin_bantu_drafting_nde,nde,store,-23.94,lose
LAM,154,16.9,31.72,30.95,154,51.01,latin_bantu_drafting_nde,nde,store,-19.29,lose
LEV,859,17.47,32.53,31.69,859,53.32,latin_bantu_drafting_nde,nde,store,-20.79,lose
MAL,55,17.89,34.49,33.11,55,56.09,latin_bantu_drafting_nde,nde,store,-21.6,lose
MIC,105,18.17,35.84,34.46,105,59.82,latin_bantu_drafting_nde,nde,store,-23.98,lose
MRK,678,18.37,56.51,55.39,678,70.3,latin_bantu_drafting_nde,nde,store,-13.79,lose
NAM,47,17.75,30.34,27.49,47,55.54,latin_bantu_drafting_nde,nde,store,-25.2,lose
NEH,405,20.74,34.65,31.61,405,60.79,latin_bantu_drafting_nde,nde,store,-26.14,lose
NUM,1288,19.28,34.51,32.43,1288,56.51,latin_bantu_drafting_nde,nde,store,-22.0,lose
OBA,21,18.04,33.21,29.82,21,57.65,latin_bantu_drafting_nde,nde,store,-24.44,lose
PRO,915,16.01,32.66,32.38,915,51.63,latin_bantu_drafting_nde,nde,store,-18.97,lose
PSA,2460,16.06,36.16,35.15,2460,56.94,latin_bantu_drafting_nde,nde,store,-20.78,lose
RUT,85,19.75,33.76,30.03,85,58.69,latin_bantu_drafting_nde,nde,store,-24.93,lose
SNG,117,18.6,28.76,27.66,117,50.99,latin_bantu_drafting_nde,nde,store,-22.23,lose
ZEC,211,18.45,36.56,35.52,211,58.77,latin_bantu_drafting_nde,nde,store,-22.21,lose
ZEP,53,17.45,35.37,34.67,53,59.66,latin_bantu_drafting_nde,nde,store,-24.29,lose
1CH,942,27.01,36.35,33.86,942,61.72,latin_bantu_drafting_nya,nya,store,-25.37,lose
1KI,816,24.48,38.18,35.3,816,60.48,latin_bantu_drafting_nya,nya,store,-22.3,lose
1PE,105,20.67,46.54,44.4,105,62.43,latin_bantu_drafting_nya,nya,store,-15.89,lose
1SA,810,24.11,37.48,33.43,810,57.87,latin_bantu_drafting_nya,nya,store,-20.39,lose
2CH,822,23.93,39.31,35.69,822,63.31,latin_bantu_drafting_nya,nya,store,-24.0,lose
2KI,719,24.88,38.44,34.8,719,61.62,latin_bantu_drafting_nya,nya,store,-23.18,lose
2PE,61,21.76,46.35,43.9,61,62.14,latin_bantu_drafting_nya,nya,store,-15.79,lose
2SA,695,25.03,39.38,35.64,695,61.42,latin_bantu_drafting_nya,nya,store,-22.04,lose
AMO,146,22.76,37.79,33.66,146,58.77,latin_bantu_drafting_nya,nya,store,-20.98,lose
DAN,357,22.6,36.61,32.91,357,57.3,latin_bantu_drafting_nya,nya,store,-20.69,lose
DEU,959,22.88,39.17,36.39,959,60.87,latin_bantu_drafting_nya,nya,store,-21.7,lose
ECC,222,20.86,36.43,35.36,222,54.6,latin_bantu_drafting_nya,nya,store,-18.17,lose
EST,167,23.93,33.73,30.35,167,54.89,latin_bantu_drafting_nya,nya,store,-21.16,lose
EXO,1213,22.15,37.82,35.11,1213,56.63,latin_bantu_drafting_nya,nya,store,-18.81,lose
EZK,1273,22.01,35.3,31.23,1273,52.71,latin_bantu_drafting_nya,nya,store,-17.41,lose
EZR,280,23.75,35.22,31.05,280,54.92,latin_bantu_drafting_nya,nya,store,-19.7,lose
GEN,1533,24.45,39.75,37.35,1533,59.48,latin_bantu_drafting_nya,nya,store,-19.73,lose
HAB,56,21.2,35.34,33.8,56,53.33,latin_bantu_drafting_nya,nya,store,-17.99,lose
HAG,38,25.01,38.3,33.71,38,65.55,latin_bantu_drafting_nya,nya,store,-27.25,lose
HOS,197,22.14,38.39,34.55,197,58.39,latin_bantu_drafting_nya,nya,store,-20.0,lose
ISA,1291,21.29,36.04,32.36,1291,52.85,latin_bantu_drafting_nya,nya,store,-16.81,lose
JAS,108,20.09,45.64,42.67,108,60.04,latin_bantu_drafting_nya,nya,store,-14.4,lose
JDG,618,23.37,35.48,33.61,618,54.89,latin_bantu_drafting_nya,nya,store,-19.41,lose
JER,1364,22.98,36.73,33.38,1364,57.05,latin_bantu_drafting_nya,nya,store,-20.32,lose
JOB,1070,19.73,34.63,33.12,1070,49.6,latin_bantu_drafting_nya,nya,store,-14.97,lose
JOL,73,21.57,37.16,34.79,73,60.56,latin_bantu_drafting_nya,nya,store,-23.4,lose
JON,48,22.31,39.81,35.7,48,59.47,latin_bantu_drafting_nya,nya,store,-19.66,lose
JOS,658,23.15,35.32,32.13,658,56.93,latin_bantu_drafting_nya,nya,store,-21.61,lose
LAM,154,21.15,35.66,33.34,154,57.38,latin_bantu_drafting_nya,nya,store,-21.72,lose
LEV,859,20.93,34.1,31.72,859,53.01,latin_bantu_drafting_nya,nya,store,-18.91,lose
MAL,55,22.7,40.63,35.46,55,62.75,latin_bantu_drafting_nya,nya,store,-22.12,lose
MIC,105,22.08,38.65,34.09,105,59.16,latin_bantu_drafting_nya,nya,store,-20.51,lose
MRK,678,22.68,58.91,57.42,678,69.86,latin_bantu_drafting_nya,nya,store,-10.95,lose
NAM,47,20.29,32.82,31.02,47,52.9,latin_bantu_drafting_nya,nya,store,-20.08,lose
NEH,405,24.36,34.62,30.51,405,55.42,latin_bantu_drafting_nya,nya,store,-20.8,lose
NUM,1288,23.37,35.76,32.9,1288,58.32,latin_bantu_drafting_nya,nya,store,-22.56,lose
OBA,21,24.28,38.06,31.77,21,56.97,latin_bantu_drafting_nya,nya,store,-18.91,lose
PRO,915,19.03,33.67,32.15,915,49.27,latin_bantu_drafting_nya,nya,store,-15.6,lose
PSA,2460,20.18,40.17,37.9,2460,60.52,latin_bantu_drafting_nya,nya,store,-20.35,lose
RUT,85,25.03,36.24,30.01,85,55.48,latin_bantu_drafting_nya,nya,store,-19.24,lose
SNG,117,22.35,31.78,29.73,117,52.45,latin_bantu_drafting_nya,nya,store,-20.67,lose
ZEC,211,22.81,41.53,39.14,211,64.19,latin_bantu_drafting_nya,nya,store,-22.66,lose
ZEP,53,22.4,38.86,34.54,53,61.49,latin_bantu_drafting_nya,nya,store,-22.63,lose
1PE,105,17.34,52.73,51.44,105,66.65,latin_bantu_gapfill_nde,nde,store,-13.92,lose
2PE,61,18.44,51.36,49.16,61,62.93,latin_bantu_gapfill_nde,nde,store,-11.57,lose
GEN,250,20.05,57.82,58.82,250,68.95,latin_bantu_gapfill_nde,nde,store,-11.13,lose
JAS,108,17.18,50.73,49.91,108,65.19,latin_bantu_gapfill_nde,nde,store,-14.46,lose
MRK,678,18.37,59.77,59.79,678,70.4,latin_bantu_gapfill_nde,nde,store,-10.63,lose
1PE,105,20.67,51.84,50.49,105,62.71,latin_bantu_gapfill_nya,nya,store,-10.87,lose
2PE,61,21.76,50.76,48.6,61,63.26,latin_bantu_gapfill_nya,nya,store,-12.5,lose
GEN,250,24.7,54.29,54.55,250,65.1,latin_bantu_gapfill_nya,nya,store,-10.81,lose
JAS,108,20.09,51.32,49.39,108,62.72,latin_bantu_gapfill_nya,nya,store,-11.4,lose
MRK,678,22.68,62.59,62.02,678,70.64,latin_bantu_gapfill_nya,nya,store,-8.05,lose
1PE,105,16.56,28.71,28.55,105,41.46,telugu_nt-only_nit,nit,store,-12.75,lose
2PE,60,18.01,26.89,27.76,60,40.72,telugu_nt-only_nit,nit,store,-13.83,lose
JAS,108,18.19,28.23,27.8,108,43.15,telugu_nt-only_nit,nit,store,-14.92,lose
MRK,672,14.59,28.99,27.99,670,37.86,telugu_nt-only_nit,nit,store,-8.87,lose
1PE,105,19.01,23.16,23.39,105,36.97,telugu_nt-only_vgr,vgr,store,-13.81,lose
2PE,61,18.13,19.38,22.61,61,33.88,telugu_nt-only_vgr,vgr,store,-14.5,lose
JAS,108,17.82,22.83,23.91,108,38.11,telugu_nt-only_vgr,vgr,store,-15.28,lose
MRK,678,15.67,25.84,24.57,676,36.21,telugu_nt-only_vgr,vgr,store,-10.37,lose
