book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
HAG,38,13.91,31.01,26.88,38,49.53,arabic_drafting_ckb,ckb,local,-18.52,lose
HOS,197,14.06,31.27,27.81,197,44.56,arabic_drafting_ckb,ckb,local,-13.29,lose
ISA,1291,13.27,30.16,27.44,1290,45.36,arabic_drafting_ckb,ckb,local,-15.2,lose
JAS,108,12.6,37.41,33.89,108,55.13,arabic_drafting_ckb,ckb,local,-17.72,lose
JDG,618,14.85,31.77,27.07,618,47.48,arabic_drafting_ckb,ckb,local,-15.71,lose
JER,1364,14.27,30.99,26.14,1364,48.93,arabic_drafting_ckb,ckb,local,-17.94,lose
JOB,1070,11.86,27.03,25.21,1068,38.21,arabic_drafting_ckb,ckb,local,-11.18,lose
JOL,73,12.67,31.93,28.94,73,49.21,arabic_drafting_ckb,ckb,local,-17.28,lose
JON,48,13.85,31.69,28.57,48,47.07,arabic_drafting_ckb,ckb,local,-15.38,lose
JOS,658,14.38,30.39,26.43,658,50.49,arabic_drafting_ckb,ckb,local,-20.1,lose
LAM,154,13.01,28.42,26.73,154,42.22,arabic_drafting_ckb,ckb,local,-13.8,lose
LEV,859,12.79,29.6,25.61,859,46.13,arabic_drafting_ckb,ckb,local,-16.53,lose
MAL,55,13.22,29.59,26.48,55,47.97,arabic_drafting_ckb,ckb,local,-18.38,lose
MIC,105,13.27,31.3,27.19,105,45.08,arabic_drafting_ckb,ckb,local,-13.78,lose
MRK,678,13.19,52.69,49.6,678,70.07,arabic_drafting_ckb,ckb,local,-17.38,lose
NAM,47,12.95,26.29,21.71,47,40.7,arabic_drafting_ckb,ckb,local,-14.41,lose
NEH,405,15.35,29.37,25.01,405,47.11,arabic_drafting_ckb,ckb,local,-17.74,lose
NUM,1288,14.51,29.24,24.11,1288,47.86,arabic_drafting_ckb,ckb,local,-18.62,lose
OBA,21,12.93,28.21,24.7,21,41.1,arabic_drafting_ckb,ckb,local,-12.89,lose
PRO,915,11.55,29.21,27.41,915,44.83,arabic_drafting_ckb,ckb,local,-15.62,lose
PSA,2460,12.46,30.49,27.66,2458,45.93,arabic_drafting_ckb,ckb,local,-15.44,lose
RUT,85,13.19,29.83,25.58,85,44.09,arabic_drafting_ckb,ckb,local,-14.26,lose
SNG,117,12.29,24.11,22.09,117,38.31,arabic_drafting_ckb,ckb,local,-14.2,lose
ZEC,211,13.44,31.6,28.32,211,50.27,arabic_drafting_ckb,ckb,local,-18.67,lose
ZEP,53,13.44,32.06,27.28,53,48.35,arabic_drafting_ckb,ckb,local,-16.29,lose
1PE,105,12.32,37.52,34.2,105,50.34,arabic_gapfill_urd,urdoucv,store,-12.82,lose
2PE,61,12.26,36.98,34.81,61,49.16,arabic_gapfill_urd,urdoucv,store,-12.18,lose
GEN,250,11.85,46.44,44.88,250,56.63,arabic_gapfill_urd,urdoucv,store,-10.19,lose
JAS,108,12.42,39.08,36.89,108,53.92,arabic_gapfill_urd,urdoucv,store,-14.84,lose
MRK,678,11.17,46.41,45.39,678,61.54,arabic_gapfill_urd,urdoucv,store,-15.13,lose
1PE,105,12.65,42.72,40.26,105,55.66,arabic_gapfill_ckb,ckb,store,-12.94,lose
2PE,61,12.54,39.49,39.21,61,51.63,arabic_gapfill_ckb,ckb,store,-12.14,lose
GEN,250,14.37,51.29,48.32,250,60.48,arabic_gapfill_ckb,ckb,store,-9.19,lose
JAS,108,12.6,42.14,38.56,108,56.1,arabic_gapfill_ckb,ckb,store,-13.96,lose
MRK,678,13.19,56.16,54.09,678,70.0,arabic_gapfill_ckb,ckb,store,-13.84,lose
